nomeComercial,substanciaAtiva,formaFarmaceutica,dosagem,titularAIM,aimStatus,dispensacaoClass,viasAdministracao,isGeneric,margemTerapeuticaEstreita,comercializado,nRegisto,cnpem,pricePVP,detailUrl,fiUrl,rcmUrl
Ácido Zoledrónico ZentivaMG,Ácido zoledrónico,Solução para perfusão,5 mg/100 ml,"Zentiva Portugal, Lda.",Autorizado,,,,,Não,,582602,,,,
Aclasta,Ácido zoledrónico,Solução para perfusão,5 mg/100 ml,Sandoz Pharmaceuticals d.d.,Autorizado,,,,,Não,,38845,,,,
ZolimetaxMG,Ácido zoledrónico,Solução para perfusão,4 mg/100 ml,"Pharma Bavaria Internacional (PBI) Portugal, Unipessoal Lda.",Autorizado,,,,,Não,,594304,,,,
Neotigason,Acitretina,Cápsula,10 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,6012,,,,
Neotigason,Acitretina,Cápsula,25 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,6013,,,,
Beyonttra,Acoramidis,Comprimido revestido por película,356 mg,Bayer AG,Autorizado,,,,,Não,,716764,,,,
AmgevitaMB,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.4 ml,"Amgen Europe, B.V.",Autorizado,,,,,Não,,719344,,,,
AmgevitaMB,Adalimumab,Solução injetável em seringa pré-cheia,20 mg/0.2 ml,"Amgen Europe, B.V.",Autorizado,,,,,Não,,719304,,,,
HulioMB,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.8 ml,Biosimilar Collaborations Ireland Limited,Autorizado,,,,,Não,,635763,,,,
Humira,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.4 ml,AbbVie Deutschland GmbH & Co. KG,Autorizado,,,,,Não,,603342,,,,
Humira,Adalimumab,Solução injetável em caneta pré-cheia,80 mg/0.8 ml,AbbVie Deutschland GmbH & Co. KG,Autorizado,,,,,Não,,620405,,,,
Humira,Adalimumab,Solução injetável em seringa pré-cheia,20 mg/0.2 ml,AbbVie Deutschland GmbH & Co. KG,Autorizado,,,,,Não,,626602,,,,
HyrimozMB,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.4 ml,Sandoz GmbH,Autorizado,,,,,Não,,701484,,,,
HyrimozMB,Adalimumab,Solução injetável em caneta pré-cheia,80 mg/0.8 ml,Sandoz GmbH,Autorizado,,,,,Não,,701444,,,,
IdacioMB,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.8 ml,Fresenius Kabi Deutschland GmbH,Autorizado,,,,,Não,,641583,,,,
ImraldiMB,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.8 ml,Samsung Bioepis NL B.V.,Autorizado,,,,,Não,,632302,,,,
YuflymaMB,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.4 ml,Celltrion Healthcare Hungary Kft.,Autorizado,,,,,Não,,664104,,,,
YuflymaMB,Adalimumab,Solução injetável em caneta pré-cheia,80 mg/0.8 ml,Celltrion Healthcare Hungary Kft.,Autorizado,,,,,Não,,687405,,,,
